萬美街二段萬寧街,121.5629086,25.0034606
木新路三段一壽街,121.556412,24.98052
木新路三段155、172巷,121.561081,24.981789
木新路三段200號,121.559967,24.981453
木新路三段278巷,121.55912,24.981215
木新路三段樟新路,121.554893,24.980202
木新路三段寶橋路,121.55397,24.97998
辛亥路七段26巷,121.5533382,24.98618019
辛亥路七段20巷,121.5531428,24.98659164
辛亥路七段光輝路50巷,121.554283,24.984852
辛亥路七段忠順街一段,121.554062,24.983185
辛亥路七段76巷,121.5537046,24.98197852
羅斯福五段景隆街(景福街),121.539948,24.999643
興隆路二段154巷220巷,121.552231,25.000534
仙岩路興隆路二段96巷,121.5503099,25.00014061
仙岩路興隆路二段154巷,121.551529,25.000896
興隆路一段251巷,121.544044,24.999502
興隆路一段興順街,121.543236,25.000601
興隆路一段景明路,121.542046,25.001966
興隆路一段萬盛街,121.540771,25.003828
興隆路一段83巷,121.541229,25.00321
興隆路一段羅斯福五段,121.538803,25.004391
羅斯福五段218巷,121.538818,25.002161
仙岩路景華街,121.547768,24.998285
興隆路四段忠順街二段,121.561676,24.984505
羅斯福六段景仁街,121.540855,24.997086
羅斯福五段192巷,121.538597,25.003548
羅斯福六段景中街,121.541,24.993095
羅斯福五段萬隆街,121.539566,25.000526
興隆路二段203巷16號,121.548691,25.001923
羅斯福六段萬慶街,121.540504,24.992126
興隆路二段275巷,121.552574,25.001516
興隆路二段福興路,121.551773,25.001844
興隆路二段154巷,121.5509679,25.00154996
興隆路二段景華街,121.547287,24.999311
興隆路一段景興路,121.544502,24.998554
老泉街恆光橋頭,121.567757,24.979931
老泉街防汛道路,121.5575106,24.97624474
忠順街一段木新路三段310巷,121.556404,24.983257
忠順街一段實踐國小,121.557541,24.983646
忠順街一段26巷,121.559212,24.984045
保儀路忠順街二段,121.566811,24.984745
保儀路永安街22巷,121.568344,24.986835
保儀路景文高中,121.567413,24.985533
木柵路三段66巷台灣戲曲學校,121.56678,24.986904
木柵路二段中山國小,121.556503,24.988411
木柵路二段138巷興隆路四段105巷,121.5622255,24.9877625
木柵路二段109巷,121.5617732,24.98884201
興隆路四段下崙路,121.560913,24.986597
下崙路光輝路71巷,121.556274,24.986176
興隆路四段109巷32弄,121.5626724,24.98675574
興隆路四段109巷92弄,121.563461,24.986807
羅斯福六段車前路,121.540314,24.99157
羅斯福六段溪口街,121.541153,24.994162
羅斯福六段景華街,121.541222,24.994925
羅斯福六段142巷20弄,121.539705,24.99668696
羅斯福五段170巷萬福國小,121.536697,25.004711
羅斯福五段萬盛路,121.538284,25.007895
景福街54巷,121.5381323,24.99908348
景興路217巷(單閃),121.543922,24.991913
景文街車前路,121.541306,24.991268
景福街溪口國小,121.538788,24.993975
景福街水快上匝道,121.5368498,24.99814025
景福街水快下匝道,121.535774,24.99608
景華街150巷,121.5475037,24.99638879
景華街176巷,121.54789,24.997248
辛亥路五段73巷,121.553215,24.998159
福興路4巷,121.551445,25.002718
興隆路三段警察專校,121.558289,24.998726
萬盛街102號,121.540909,25.005394
汀州路四段師大分部,121.5373763,25.00780109
汀州路四段溪洲街5巷,121.536156,25.005976
汀州路四段羅斯福五段170巷,121.5357376,25.0048163
新光路二段高速公路下,121.592395,24.9966626
景華街景美街,121.5416286,24.99495041
木柵路五段57號,121.5874649,25.00289153
木柵路五段57號,121.5874649,25.00289153
木柵路五段57號,121.5874649,25.00289153
溪洲街135巷,121.535583,25.002029
溪洲街137巷,121.5354208,25.00002561
溪洲街二號疏散門,121.5355569,24.99872435
汀州路4段195號(停車場北側),121.5356174,25.00444592
汀州路4段195號(停車場南側),121.5354867,25.00386554
公館路432號(大同電子),121.5019532,25.12010596
裕民六路114巷,121.5174888,25.11448109
文林北路中正高中,121.5175946,25.10536313
文林北路文林國小,121.5155362,25.10698445
明德路文林北路,121.5165908,25.10616003
文林北路218巷,121.5142676,25.10793883
自強街文林北路,121.5121966,25.10992224
承德路六段洲美街,121.5128606,25.09886706
承德路六段331巷,121.5118926,25.10573238
承德路六段文林北路,121.5112391,25.11057212
承德路七段1巷,121.51059,25.11100383
承德路七段石牌路一段,121.5092415,25.1124263
承德路七段實踐街,121.5071675,25.1143637
承德路七段13號道路,121.5050888,25.11619215
承德路七段吉利街,121.5038509,25.11733858
承德路七段公館路,121.5014649,25.11953648
承德路七段大業路,121.4997482,25.12110139
中央北一段育仁路,121.4995017,25.13475678
中央北一段大同路,121.4987986,25.13525232
中央北一段大業路,121.4971663,25.13605953
中央北一段北投國小,121.5003827,25.13421704
石牌路二段振興街,121.5213341,25.11899363
天母西路130巷,121.5223748,25.11910183
明德路振興街(振興醫院),121.5222777,25.11765619
明德路台北護理學院,121.5214311,25.11735945
明德路振華街(懷德街),121.5200775,25.11550316
明德路289巷,121.5217688,25.11518025
明德路榮華二路,121.5221587,25.11367081
明德路210號,121.5220058,25.11312434
明德路明德國小,121.5216528,25.11214675
明德路150巷,121.5208076,25.11068824
明德路懷德街,121.5202565,25.11004795
明德路明德國中,121.5183777,25.10793615
明德路致遠一路一段,121.5179456,25.10742697
自強街致遠一路一段,121.5146702,25.11064425
東華街一段明德路,121.5191774,25.10917485
東華街一段東陽街,121.5174669,25.11229063
東華街一段裕民六路,121.5167933,25.11315827
